nome_franquia,id_filme_TMDB
Avatar Collection,19995
Avengers,299534
Marvel Cinematic Universe,299534
Star Wars,140607
Avengers,299536
Marvel Cinematic Universe,299536
Jurassic Park,135397
The Lion King,420818
Avengers,24428
Marvel Cinematic Universe,24428
Fast & Furious,168259
Frozen,330457
Avengers,99861
Marvel Cinematic Universe,99861
Black Panther Collection,284054
Marvel Cinematic Universe,284054
Harry Potter,12445
Star Wars,181808
Jurassic Park,351286
Frozen,109445
The Incredibles,260513
Fast & Furious,337339
Iron Man,68721
Marvel Cinematic Universe,68721
Minions Collection,211672
Captain America,271110
Marvel Cinematic Universe,271110
Aquaman Collection,297802
DC Extended Universe,297802
Avengers,429617
Marvel Cinematic Universe,429617
Captain Marvel Collection,299537
Marvel Cinematic Universe,299537
Transformers,38356
The Lord of the Rings,122
Middle-earth,122
James Bond,37724
Transformers,91314
The Dark Knight Trilogy,49026
Star Wars,181812
Toy Story,301528
Toy Story,10193
Pirates of the Caribbean,58
Aladdin (Live-Action) Collection,420817
Pirates of the Caribbean,1865
Despicable Me,324852
Finding Nemo,127380
Alice in Wonderland Collection,12155
The Hobbit,49051
Middle-earth,49051
The Dark Knight Trilogy,155
Harry Potter,671
Despicable Me,93456
Jumanji,353486
Pirates of the Caribbean,285
The Hobbit,57158
Middle-earth,57158
The Hobbit,122917
Middle-earth,122917
Harry Potter,12444
Finding Nemo,12
Harry Potter,675
Harry Potter,767
Shrek,809
The Lord of the Rings,121
Middle-earth,121
Harry Potter,674
Spider-Man,559
Ice Age,8355
James Bond,206647
Avengers,315635
Marvel Cinematic Universe,315635
Ice Age,57800
Harry Potter,672
The Secret Life of Pets,328111
Man of Steel Collection,209112
DC Extended Universe,209112
The Lord of the Rings,120
Middle-earth,120
Wolf Warrior Collection,452557
Guardians of the Galaxy,283995
Marvel Cinematic Universe,283995
Venom Collection,335983
Thor,284053
Marvel Cinematic Universe,284053
Star Wars,1895
The Hunger Games,101299
Transformers,8373
The Twilight Collection,50620
Wonder Woman Collection,297762
DC Extended Universe,297762
Spider-Man,557
Shrek,810
Fantastic Beasts Collection,259316
Jumanji,512200
Pirates of the Caribbean,166426
Mission: Impossible,353081
Harry Potter,673
Fast & Furious,82992
Indiana Jones,217
Deadpool,383498
Spider-Man,558
Deadpool,293660
Guardians of the Galaxy,118340
Marvel Cinematic Universe,118340
The Robert Langdon Collection,591
Hobbs & Shaw Collection,384018
Maleficent Collection,102651
Spider-Man,1930
Man of Steel Collection,49521
DC Extended Universe,49521
Shrek,10192
